2^7,random,shell_sort,0.0005019903182983398,1534.0
2^7,sorted,shell_sort,2.7251243591308593e-05,769.0
2^7,backsorted,shell_sort,3.2520294189453126e-05,1216.0
2^7,1-3,shell_sort,2.5463104248046874e-05,952.0
2^7,random,insertion_sort,0.00019567012786865235,4412.0
2^7,sorted,insertion_sort,0.0001267671585083008,127.0
2^7,backsorted,insertion_sort,8.437633514404296e-05,8246.0
2^7,1-3,insertion_sort,1.0538101196289063e-05,2848.0
2^7,random,selection_sort,0.0003398418426513672,8128.0
2^7,sorted,selection_sort,0.00022957324981689453,8128.0
2^7,backsorted,selection_sort,0.000156402587890625,8128.0
2^7,1-3,selection_sort,2.1386146545410157e-05,8128.0
2^8,random,shell_sort,0.0007535457611083984,3525.0
2^8,sorted,shell_sort,5.245208740234375e-05,1793.0
2^8,backsorted,shell_sort,6.0391426086425784e-05,2803.0
2^8,1-3,shell_sort,0.00010333061218261718,2188.0
2^8,random,insertion_sort,0.00023310184478759767,17319.0
2^8,sorted,insertion_sort,0.00012400150299072266,255.0
2^8,backsorted,insertion_sort,0.00012831687927246095,32867.0
2^8,1-3,insertion_sort,2.7513504028320314e-05,11553.0
2^8,random,selection_sort,0.0005905866622924804,32640.0
2^8,sorted,selection_sort,0.00026900768280029296,32640.0
2^8,backsorted,selection_sort,0.00022952556610107423,32640.0
2^8,1-3,selection_sort,6.327629089355468e-05,32640.0
2^9,random,shell_sort,0.0009344577789306641,9104.0
2^9,sorted,shell_sort,5.314350128173828e-05,4097.0
2^9,backsorted,shell_sort,0.00012395381927490234,6339.0
2^9,1-3,shell_sort,3.511905670166016e-05,4995.0
2^9,random,insertion_sort,0.00029673576354980467,68026.0
2^9,sorted,insertion_sort,0.00012314319610595703,511.0
2^9,backsorted,insertion_sort,0.00030524730682373046,131204.0
2^9,1-3,insertion_sort,7.51495361328125e-05,42031.0
2^9,random,selection_sort,0.0008451938629150391,130816.0
2^9,sorted,selection_sort,0.00038421154022216797,130816.0
2^9,backsorted,selection_sort,0.0006048440933227539,130816.0
2^9,1-3,selection_sort,0.00020525455474853515,130816.0
2^10,random,shell_sort,0.000891733169555664,24234.0
2^10,sorted,shell_sort,8.237361907958984e-05,9217.0
2^10,backsorted,shell_sort,0.00013091564178466797,14085.0
2^10,1-3,shell_sort,9.067058563232422e-05,11465.0
2^10,random,insertion_sort,0.0011858224868774414,266565.0
2^10,sorted,insertion_sort,0.00011584758758544921,1023.0
2^10,backsorted,insertion_sort,0.0033550024032592773,524267.0
2^10,1-3,insertion_sort,0.0006879568099975586,180510.0
2^10,random,selection_sort,0.001488971710205078,523776.0
2^10,sorted,selection_sort,0.0009374618530273438,523776.0
2^10,backsorted,selection_sort,0.0017712116241455078,523776.0
2^10,1-3,selection_sort,0.0008387327194213867,523776.0
2^11,random,shell_sort,0.0010168075561523438,69499.0
2^11,sorted,shell_sort,0.0001573324203491211,20481.0
2^11,backsorted,shell_sort,0.00020236968994140624,30838.0
2^11,1-3,shell_sort,0.00017621517181396485,28000.0
2^11,random,insertion_sort,0.0018657445907592773,1038870.0
2^11,sorted,insertion_sort,0.00017461776733398437,2047.0
2^11,backsorted,insertion_sort,0.0033707380294799804,2096105.0
2^11,1-3,insertion_sort,0.0011119365692138672,705364.0
2^11,random,selection_sort,0.0037401437759399412,2096128.0
2^11,sorted,selection_sort,0.0031679153442382814,2096128.0
2^11,backsorted,selection_sort,0.005544066429138184,2096128.0
2^11,1-3,selection_sort,0.0030357837677001953,2096128.0
2^12,random,shell_sort,0.0017962217330932616,203134.0
2^12,sorted,shell_sort,0.0001614093780517578,45057.0
2^12,backsorted,shell_sort,0.0004033565521240234,66535.0
2^12,1-3,shell_sort,0.0003451108932495117,57643.0
2^12,random,insertion_sort,0.0068695306777954105,4179581.0
2^12,sorted,insertion_sort,0.0004629373550415039,4095.0
2^12,backsorted,insertion_sort,0.013267278671264648,8382183.0
2^12,1-3,insertion_sort,0.0048935174942016605,2731334.0
2^12,random,selection_sort,0.013164329528808593,8386560.0
2^12,sorted,selection_sort,0.012486624717712402,8386560.0
2^12,backsorted,selection_sort,0.017054486274719238,8386560.0
2^12,1-3,selection_sort,0.011564087867736817,8386560.0
2^13,random,shell_sort,0.003165936470031738,431801.0
2^13,sorted,shell_sort,0.0003398895263671875,98305.0
2^13,backsorted,shell_sort,0.0007604360580444336,142062.0
2^13,1-3,shell_sort,0.0005443572998046875,117136.0
2^13,random,insertion_sort,0.026312637329101562,16727249.0
2^13,sorted,insertion_sort,0.00017726421356201172,8191.0
2^13,backsorted,insertion_sort,0.052079081535339355,33524897.0
2^13,1-3,insertion_sort,0.017578887939453124,11299807.0
2^13,random,selection_sort,0.04922552108764648,33550336.0
